"pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count","dist","fare_amount"
-73.97332001,40.76380539,-73.98143005,40.74383545,"1",2.32586207276851,10.10887
-73.98686218,40.71938324,-73.99888611,40.73920059,"1",2.42806986021429,8.80158333333334
-73.982524,40.75126,-73.979654,40.746139,"1",0.619320877893307,5.54849166666667
-73.98116,40.767807,-73.990448,40.751635,"1",1.96322932784758,8.70209166666667
-73.966046,40.789775,-73.988565,40.744427,"1",5.39333628270801,14.3487333333333
-73.960983,40.765547,-73.979177,40.740053,"1",3.22615888114517,10.0094666666667
-73.949013,40.773204,-73.959622,40.770893,"1",0.930642678697648,5.36644166666667
-73.777282,40.646636,-73.985083,40.759368,"1",21.5642315816577,17.462225
-74.014099,40.709638,-73.995106,40.741365,"1",3.87830143248616,11.999025
-73.969582,40.765519,-73.980686,40.770725,"1",1.10102593453899,6.91824166666666
-73.989374,40.741973,-73.9993,40.722534,"1",2.32028150804256,8.4112
-74.001614,40.740893,-73.956387,40.767437,"1",4.82457729994752,13.517
-73.991198,40.739937,-73.997166,40.735269,"1",0.723479263058921,5.081375
-73.982034,40.762723,-74.001867,40.761545,"1",1.67738008870804,7.60630833333333
-73.992455,40.728701,-73.983397,40.750149,"1",2.50683744053829,9.5841
-73.983583,40.746993,-73.951178,40.785903,"1",5.12110557517959,12.4820125
-74.006746,40.731721,-74.010204,40.732318,"1",0.299172808151945,3.774575
-73.976446,40.785598,-73.95222,40.772121,"1",2.53398293521814,10.37115
-73.973548,40.763349,-73.972096,40.756417,"1",0.781318746140894,5.40525833333333
-73.970918,40.756025,-73.975954,40.755563,"1",0.427760618403354,6.04986666666667
-73.926071,40.705866,-73.941741,40.714789,"1",1.65379606615636,6.44028
-73.970555,40.764702,-73.949132,40.7718,"1",1.97141652091757,7.493675
-73.989102,40.73636,-73.992767,40.747767,"1",1.30690365194726,6.43551666666667
-74.003525,40.74848,-73.99152,40.76296,"1",1.90342439488443,9.1624
-73.990352,40.759992,-74.015665,40.711682,"1",5.786194967448,16.6733833333333
-73.989482,40.75745,-74.00085,40.762705,"1",1.12294314306038,5.64155
-73.870785,40.773722,-73.741922,40.689945,"1",14.322566278464,19.1406166666667
-73.992682,40.733877,-73.938852,40.80822,"1",9.43843150096488,19.4421333333333
-73.95402,40.778705,-73.950277,40.76881,"1",1.1458107790665,6.360675
-73.972742,40.743432,-74.007125,40.710192,"1",4.70163175175977,13.530075
-73.953515,40.771137,-73.947295,40.796792,"1",2.90362503130619,9.3935375
-73.99959,40.73863,-74.00512,40.72886,"1",1.18340526273181,5.82663333333333
-73.958925,40.763727,-73.958138,40.773337,"1",1.0718359503174,5.13545
-73.96996,40.793912,-73.963747,40.768497,"1",2.87724802131363,9.995525
-73.955135,40.780062,-73.96334,40.762677,"1",2.05519362101164,8.435925
-73.981367,40.74415,-73.993107,40.73326,"1",1.56529169320506,6.26080833333333
-73.977608,40.749272,-73.979918,40.739127,"1",1.14601765239633,6.64691666666666
-74.005682,40.738755,-73.99507,40.73487,"1",0.994107834004629,5.02208333333334
-74.006635,40.74421,-73.988025,40.743882,"1",1.56997899469462,7.80455
-73.954927,40.783217,-73.952562,40.789407,"1",0.717320651532673,4.66085
-74.00477,40.746977,-73.96411,40.802537,"1",7.07120339891375,18.6670166666667
-74.00544,40.745935,-73.985797,40.763722,"1",2.58152003866741,8.140525
-74.01311,40.70408,-73.973397,40.751617,"1",6.2631308932916,17.13695
-73.980173,40.74585,-73.986687,40.766567,"1",2.37071727465017,9.85130833333333
-73.99287,40.75307,-73.9894,40.75766,"1",0.588808702323397,5.71897166666666
-73.96409,40.776612,-73.981708,40.75233,"1",3.08432242659948,11.5777
-73.98736,40.729017,-73.99781,40.729485,"1",0.883079793402962,4.98691666666666
-73.96744,40.772032,-73.981815,40.773535,"1",1.22334885247449,7.65364166666667
-73.996132,40.726167,-73.984293,40.729047,"1",1.04893539571406,5.53935833333333
-73.986387,40.739997,-73.979067,40.737097,"1",0.696719374758149,4.99783333333333
-73.997102,40.722197,-73.963812,40.71224,"1",3.01957870499144,11.22815
-73.993222,40.747247,-73.959138,40.763547,"1",3.39897943157713,12.3382166666667
-73.989773,40.73411,-73.943265,40.691587,"1",6.14877192022514,16.545725
-73.986618,40.761682,-73.982262,40.771067,"1",1.10740544263212,5.35979166666667
-73.99221,40.730832,-73.998578,40.719815,"1",1.3389111759291,6.56043333333333
-73.96384,40.768102,-73.992085,40.730375,"1",4.82822118472652,12.3517666666667
-73.96038,40.776002,-73.938887,40.804297,"1",3.63352267041101,9.91195833333333
-73.97256,40.756255,-74.000222,40.76261,"1",2.43737683273184,9.64659166666666
-73.977347,40.758262,-74.00764,40.732922,"1",3.80582135107483,12.2169916666667
-73.96619,40.76811,-73.99328,40.739977,"1",3.87638825981184,12.227
-73.993332,40.689932,-73.978802,40.684532,"1",1.36588599674164,7.30681666666667
-73.989652,40.772837,-73.991937,40.749412,"1",2.61476690069378,9.94657916666667
-73.994922,40.749567,-73.992607,40.742872,"1",0.770432691182424,5.28451666666667
-73.984972,40.736205,-73.990887,40.742212,"1",0.834301516968986,5.10735
-73.98,40.745682,-73.97262,40.758292,"1",1.5355135000598,6.79716666666667
-73.975752,40.781657,-73.982252,40.77054,"1",1.35341853987659,6.62009166666666
-73.994077,40.741197,-73.984512,40.764202,"1",2.68492794129014,9.45008333333333
-73.972752,40.76462,-73.966815,40.772452,"1",1.00531990947276,5.598525
-73.992943,40.74247,-73.996302,40.738157,"1",0.557477895758029,5.25995833333334
-73.96919,40.76946,-74.00148,40.72626,"1",5.52649059228369,16.590875
-74.003227,40.725407,-73.988945,40.72304,"1",1.23336747766705,6.66044166666667
-73.971583,40.766377,-73.97747,40.762815,"1",0.635290051141556,5.71829583333334
-73.97615,40.739872,-74.003053,40.756222,"1",2.90866285002204,10.6070883333333
-73.97318,40.755452,-73.98097,40.744632,"1",1.37198391699854,6.26875
-73.96829,40.755192,-73.987627,40.738435,"1",2.47773233719908,8.36985000000001
-73.948185,40.774497,-73.98173,40.767695,"1",2.92762524498431,12.6235
-73.78196,40.64479,-73.97213,40.6404,"1",16.0706733745638,15.3267333333333
-73.986835,40.76629,-73.990022,40.764802,"1",0.315656041044345,3.945375
-73.97961,40.76717,-73.979495,40.771242,"1",0.45339664013614,6.50214761904762
-73.955017,40.773412,-73.959745,40.779475,"1",0.783825358136854,4.60848333333334
-73.992555,40.714095,-73.983663,40.721375,"1",1.10436417715462,6.21635833333333
-73.961491,40.776958,-73.950262,40.77232,"1",1.0782561861072,6.57655833333333
-73.993505,40.74981,-73.984672,40.761817,"1",1.53013630170539,6.7635
-73.988536,40.721543,-73.984026,40.743492,"1",2.47279158799484,9.45398333333333
-73.973565,40.754947,-74.006003,40.70687,"1",6.01086159973487,15.8232166666667
-73.98206,40.77772,-73.97436,40.78747,"1",1.26462051723425,4.95426166666667
-73.988327,40.74821,-73.991392,40.744802,"1",0.459068683984299,4.14260833333333
-73.995295,40.74963,-73.995878,40.737047,"1",1.40159590705971,6.59428333333333
-74.012938,40.70807,-73.958972,40.729785,"1",5.15506901686808,15.9329716666667
-73.97194,40.762475,-73.98824,40.743342,"1",2.53490658760416,9.04459166666667
-74.002072,40.740237,-73.99559,40.716945,"1",2.64988596120079,9.135625
-73.991572,40.749837,-73.973802,40.737797,"1",2.01060027900553,8.18507333333334
-73.991395,40.735137,-74.00564,40.737587,"1",1.23211631507928,6.35254166666667
-73.997557,40.756537,-73.988297,40.764865,"1",1.2120576136851,5.89734166666667
-73.955755,40.77963,-73.986795,40.750447,"1",4.17165087227793,13.0839833333333
-73.9583,40.80089,-73.97335,40.76376,"1",4.32358559636947,12.5166383333333
-74.003687,40.70605,-73.99041,40.73087,"1",2.98140022191863,11.36551
-73.999117,40.734173,-73.97389,40.763952,"1",3.93893749301258,12.4876833333333
-73.99088,40.75554,-73.97535,40.75122,"1",1.3951098527298,7.83749166666667
-73.975692,40.782117,-73.970575,40.758672,"1",2.64529812827217,10.0535333333333
-73.954693,40.773215,-73.983427,40.76052,"1",2.80463900476708,12.1410583333333
-73.935207,40.75077,-73.949648,40.752697,"1",1.23655161336109,7.28460952380952
-73.790352,40.643745,-73.994598,40.748702,"1",20.8247536701794,15.9311083333333
-73.983213,40.744428,-73.992753,40.753042,"1",1.2517131458317,7.68971666666667
